Date,Time,CminusO,DCminusDO,DOminusYC
1130111,925,11,-64,27
1130111,930,-3,-64,27
1130111,935,3,-64,27
1130111,940,-15,-64,27
1130111,945,4,-64,27
1130111,950,2,-64,27
1130111,955,-14,-64,27
1130111,1000,7,-64,27
1130111,1005,-9,-64,27
1130111,1010,-4,-64,27
1130111,1015,-2,-64,27
1130111,1020,7,-64,27
1130111,1025,-4,-64,27
1130111,1030,-7,-64,27
1130111,1035,-1,-64,27
1130111,1040,9,-64,27
1130111,1045,-3,-64,27
1130111,1050,5,-64,27
1130111,1055,4,-64,27
1130111,1100,-8,-64,27
1130111,1105,2,-64,27
1130111,1110,0,-64,27
1130111,1115,-4,-64,27
1130111,1120,-3,-64,27
1130111,1125,1,-64,27
1130111,1130,3,-64,27
1130111,1135,2,-64,27
1130111,1140,-4,-64,27
1130111,1145,3,-64,27
1130111,1150,3,-64,27
1130111,1155,1,-64,27
1130111,1200,-2,-64,27
1130111,1205,-1,-64,27
1130111,1210,1,-64,27
1130111,1215,2,-64,27
1130111,1220,11,-64,27
1130111,1225,-1,-64,27
1130111,1230,0,-64,27
1130111,1235,-2,-64,27
1130111,1240,1,-64,27
1130111,1245,2,-64,27
1130111,1250,-5,-64,27
1130111,1255,3,-64,27
1130111,1300,-6,-64,27
1130111,1305,-5,-64,27
1130111,1310,0,-64,27
1130111,1315,-5,-64,27
1130111,1320,1,-64,27
1130111,1325,-2,-64,27
1130111,1330,-1,-64,27
1130111,1335,4,-64,27
1130111,1340,0,-64,27
1130111,1345,-14,-64,27
1130114,850,7,97,-69
1130114,855,2,97,-69
1130114,900,-1,97,-69
1130114,905,9,97,-69
1130114,910,-32,97,-69
1130114,915,0,97,-69
1130114,920,1,97,-69
1130114,925,21,97,-69
1130114,930,2,97,-69
1130114,935,1,97,-69
1130114,940,9,97,-69
1130114,945,-9,97,-69
1130114,950,3,97,-69
1130114,955,2,97,-69
1130114,1000,4,97,-69
1130114,1005,4,97,-69
1130114,1010,0,97,-69
1130114,1015,0,97,-69
1130114,1020,9,97,-69
1130114,1025,-11,97,-69
1130114,1030,4,97,-69
1130114,1035,-9,97,-69
1130114,1040,5,97,-69
1130114,1045,3,97,-69
1130114,1050,2,97,-69
1130114,1055,5,97,-69
1130114,1100,7,97,-69
1130114,1105,4,97,-69
1130114,1110,0,97,-69
1130114,1115,1,97,-69
1130114,1120,-6,97,-69
1130114,1125,3,97,-69
1130114,1130,-2,97,-69
1130114,1135,0,97,-69
1130114,1140,8,97,-69
1130114,1145,-2,97,-69
1130114,1150,-2,97,-69
1130114,1155,1,97,-69
1130114,1200,-4,97,-69
1130114,1205,-4,97,-69
1130114,1210,3,97,-69
1130114,1215,5,97,-69
1130114,1220,13,97,-69
1130114,1225,4,97,-69
1130114,1230,0,97,-69
1130114,1235,3,97,-69
1130114,1240,-5,97,-69
1130114,1245,-2,97,-69
1130114,1250,3,97,-69
1130114,1255,6,97,-69
1130114,1300,-2,97,-69
1130114,1305,6,97,-69
1130114,1310,5,97,-69
1130114,1315,5,97,-69
1130114,1320,10,97,-69
1130114,1325,0,97,-69
1130114,1330,8,97,-69
1130114,1335,2,97,-69
1130114,1340,-1,97,-69
1130114,1345,7,97,-69
1130115,850,-12,-59,-27
1130115,855,-3,-59,-27
1130115,900,-1,-59,-27
1130115,905,16,-59,-27
1130115,910,-8,-59,-27
1130115,915,-5,-59,-27
1130115,920,-4,-59,-27
1130115,925,12,-59,-27
1130115,930,-2,-59,-27
1130115,935,-1,-59,-27
1130115,940,13,-59,-27
1130115,945,-12,-59,-27
1130115,950,6,-59,-27
1130115,955,-9,-59,-27
1130115,1000,-5,-59,-27
1130115,1005,-5,-59,-27
1130115,1010,2,-59,-27
1130115,1015,4,-59,-27
1130115,1020,1,-59,-27
1130115,1025,0,-59,-27
1130115,1030,1,-59,-27
1130115,1035,-4,-59,-27
1130115,1040,-12,-59,-27
1130115,1045,-2,-59,-27
1130115,1050,-3,-59,-27
1130115,1055,1,-59,-27
1130115,1100,-3,-59,-27
1130115,1105,-6,-59,-27
1130115,1110,-5,-59,-27
1130115,1115,0,-59,-27
1130115,1120,-7,-59,-27
1130115,1125,-10,-59,-27
1130115,1130,8,-59,-27
1130115,1135,-2,-59,-27
1130115,1140,10,-59,-27
1130115,1145,-1,-59,-27
1130115,1150,-6,-59,-27
1130115,1155,-5,-59,-27
1130115,1200,6,-59,-27
1130115,1205,2,-59,-27
1130115,1210,-7,-59,-27
1130115,1215,-9,-59,-27
1130115,1220,11,-59,-27
1130115,1225,-2,-59,-27
1130115,1230,4,-59,-27
1130115,1235,-4,-59,-27
1130115,1240,6,-59,-27
1130115,1245,1,-59,-27
